village_code,village,village_tamil,gram_panchayat,block,taluk,district,district_code,taluk_code,block_code,pincode,pincode_confidence,pincode_match_level
636479,Keelaiyur,,Melapalur,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,621715,block_inferred,medium
636495,Keelakolathur,,Keelakolathur,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,621715,block_inferred,medium
636497,Keezhakavattankurichi,,Keelakavattankurichi,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,621715,block_inferred,medium
636477,Keezhapalur,,Keelapalur,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,621715,block_inferred,medium
636503,Kovil Esanai (East),,Kovilesanai,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,621715,block_inferred,medium
636504,Kovil Esanai (West),,Kovilesanai,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,621715,block_inferred,medium
636493,Kovilur,,Kovilur,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,604404,name_match_multi,good
636506,Kulamanickam (East),,Pudukottai,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,614702,name_match_multi,good
636507,Kulamanickam (West),,Kulamanickam,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,614702,name_match_multi,good
636469,Mallur,,Varanavasi,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,621715,block_inferred,medium
636511,Manjamedu,,Manjamedu,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,621715,block_inferred,medium
636480,Melapalur,,Melapalur,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,621715,block_inferred,medium
636473,Nagamangalam,,Nagamangalam,ARIYALUR,Ariyalur,Ariyalur,610,5787,6256,621701,taluk_match,high
636489,Oriyur,,Pungankuzhi,ARIYALUR,Ariyalur,Ariyalur,610,5787,6256,623406,name_match,high
636455,Ottakoil,,Ottakovil,ARIYALUR,Ariyalur,Ariyalur,610,5787,6256,621705,taluk_match,high
636502,Palinganatham,,Palinganatham,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,621715,block_inferred,medium
636478,Papanacheri,,Parpanacheri,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,621715,block_inferred,medium
636463,Periyanagalur,,Periyanagalur,ARIYALUR,Ariyalur,Ariyalur,610,5787,6256,621704,taluk_match,high
636474,Periyathirukonam,,Periyathirukonam,ARIYALUR,Ariyalur,Ariyalur,610,5787,6256,621704,block_inferred,medium
636481,Poondi,,Poondi,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,602023,name_match_multi,good
636451,Pottaveli,,Pottaveli,ARIYALUR,Ariyalur,Ariyalur,610,5787,6256,621718,taluk_match,high
636471,Pudupalayam,,Pudupalayam,ARIYALUR,Ariyalur,Ariyalur,610,5787,6256,606705,name_match_multi,good
636488,Pungankuzhi,,Pungankuzhi,ARIYALUR,Ariyalur,Ariyalur,610,5787,6256,623406,gp_inferred,good
636452,Rayampuram,,Rayampuram,ARIYALUR,Ariyalur,Ariyalur,610,5787,6256,621704,block_inferred,medium
636472,Reddipalayam,,Reddipalayam,ARIYALUR,Ariyalur,Ariyalur,610,5787,6256,621704,taluk_match,high
636500,Sannavur (North),,Sannavoor,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,621651,name_match,high
636501,Sannavur (South),,Sannavoor,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,621651,name_match,high
636483,Sathamangalam,,Sathamangalam,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,606003,name_match_multi,good
636453,Sennivanam,,Sennivanam,ARIYALUR,Ariyalur,Ariyalur,610,5787,6256,621718,taluk_match,high
636470,Siruvalur,,Siruvalur,ARIYALUR,Ariyalur,Ariyalur,610,5787,6256,621704,taluk_match,high
636515,Sullangudi,,Sullangudi,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,621715,name_match,high
636462,Thelur,,Thelur,ARIYALUR,Ariyalur,Ariyalur,610,5787,6256,621704,block_inferred,medium
636512,Thirumanur,,Thirumanur,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,636202,name_match,high
636508,Thirumazhapadi,,Thirumazhapadi,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,621851,name_match,high
636490,Thuthur,,Thoothur,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,621701,taluk_match,high
636513,Vadugapalayam,,Vadugapalayam,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,637503,name_match_multi,good
636467,Valajanagaram,,Hasthinapuram,ARIYALUR,Ariyalur,Ariyalur,610,5787,6256,621704,taluk_match,high
636468,Varanavasi,,Thavuthaikulam,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,621704,taluk_match,high
636499,Venganur,,Venganoor,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,606303,name_match_multi,good
636496,Vetriyur,,Vettriyur,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,621715,block_inferred,medium
636461,Vilangudi,,Villangudi,ARIYALUR,Ariyalur,Ariyalur,610,5787,6256,621704,taluk_match,high
636514,Vilupanankurichi,,Vizhuppanankurichi,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,621715,block_inferred,medium
636309,Adhanakurichi,,Adhanakuruchi,SENDURAI,Sendurai,Ariyalur,610,5785,6259,621719,taluk_match,high
636308,Alathiyur,,Alathiyur,SENDURAI,Sendurai,Ariyalur,610,5785,6259,621719,name_match,high
636331,Anandavadi,,Anandhavadi,SENDURAI,Sendurai,Ariyalur,610,5785,6259,621718,name_match,high
636314,Asaveerankudikkadu,,Asaveerankudikadu,SENDURAI,Sendurai,Ariyalur,610,5785,6259,621714,block_inferred,medium
636311,Ayanathathanur,,Ayanthathanur,SENDURAI,Sendurai,Ariyalur,610,5785,6259,621714,block_inferred,medium
636330,Irumbilikurichi,,Irumbilikuruchi,SENDURAI,Sendurai,Ariyalur,610,5785,6259,621804,name_match,high
636323,Keezhamaligai,,Keelamaligai,SENDURAI,Sendurai,Ariyalur,610,5785,6259,621714,block_inferred,medium
636332,Kilimangalam,,Palayakudi,SENDURAI,Sendurai,Ariyalur,610,5785,6259,606105,name_match,high
636312,Kulumur,,Kulumur,SENDURAI,Sendurai,Ariyalur,610,5785,6259,621714,name_match,high
636310,Manakkudaiyan,,Manakudaiyan,SENDURAI,Sendurai,Ariyalur,610,5785,6259,621714,block_inferred,medium
636313,Manapathur,,Manappathur,SENDURAI,Sendurai,Ariyalur,610,5785,6259,621709,name_match,high
636321,Maruvathur,,Maruvathur,SENDURAI,Sendurai,Ariyalur,610,5785,6259,612802,name_match_multi,good
636324,Nagalkuzhi,,KALUMANGALAM,SENDURAI,Sendurai,Ariyalur,610,5785,6259,621714,block_inferred,medium
636320,Nakkampadi,,Nakkambadi,SENDURAI,Sendurai,Ariyalur,610,5785,6259,612203,name_match,high
636319,Namangunam,,Namangunam,SENDURAI,Sendurai,Ariyalur,610,5785,6259,621716,name_match,high
636329,Paranam,,Kumiliyam,SENDURAI,Sendurai,Ariyalur,610,5785,6259,621804,name_match,high
636317,Periyakurichi,,Periyakurichi,SENDURAI,Sendurai,Ariyalur,610,5785,6259,621719,name_match,high
636325,Pilakurichi,,Pilakurichi,SENDURAI,Sendurai,Ariyalur,610,5785,6259,621806,name_match,high
636322,Ponparappi,,Ponparappi,SENDURAI,Sendurai,Ariyalur,610,5785,6259,621710,name_match,high
636305,Sannasinallur,,Sannasinallur,SENDURAI,Sendurai,Ariyalur,610,5785,6259,621730,taluk_match,high
636327,Sendurai,,Sendurai,SENDURAI,Sendurai,Ariyalur,610,5785,6259,621714,name_match_multi,good
636316,Sirkalathur,,Sirukalathur,SENDURAI,Sendurai,Ariyalur,610,5785,6259,621714,block_inferred,medium
636328,Sirukadambur,,Sirugadambur,SENDURAI,Sendurai,Ariyalur,610,5785,6259,621714,block_inferred,medium
636306,Thalavoi (North),,Thalavai,SENDURAI,Sendurai,Ariyalur,610,5785,6259,621714,block_inferred,medium
636307,Thalavoi (South),,Thalavai,SENDURAI,Sendurai,Ariyalur,610,5785,6259,621714,block_inferred,medium
636315,Tular,,Thular,SENDURAI,Sendurai,Ariyalur,610,5785,6259,621714,block_inferred,medium
636326,Unjini,,Nallampalayam,SENDURAI,Sendurai,Ariyalur,610,5785,6259,621714,name_match,high
636318,Vanjinapuram,,Vanjinapuram,SENDURAI,Sendurai,Ariyalur,610,5785,6259,621714,taluk_match,high
636444,Adichanur RF,,Adichanur,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,621804,gp_inferred,good
636449,Alvoy Extention RF,,Keelanatham,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,621804,block_inferred,medium
636447,Alvoy RF,,Keelanatham,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,621804,block_inferred,medium
636376,Amanakkanthondi,,Amanaganthondi,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,612903,block_inferred,medium
636418,Ammbappur,,Ambapur,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,621804,block_inferred,medium
636446,Ammbappur RF,,Ambapur,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,621804,block_inferred,medium
636394,Anaikudam,,Anaikudam,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,612902,name_match,high
636382,Angarayanallur (East),,Angarayanallur,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,621802,taluk_match,high
931847,Angarayanallur (West),அங்கராயனல்லூர் (மேற்கு),,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,621802,taluk_match,high
636393,Cholamadevi,,Cholamadevi,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,621804,block_inferred,medium
636383,Devamangalam,,Devamangalam,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,612902,name_match,high
636349,Dharmasamudram,,Ayyappanayakkenpettai,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,612903,gp_inferred,good
636409,Edanganni,,Edanganni,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,621804,block_inferred,medium
636381,Edayar,,Edaiyar,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,621804,name_match,high
636374,Elayaperumalnallur,,Elayaperumalnallur,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,612903,block_inferred,medium
636352,Eravangudy,,Eravangudi,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,612903,block_inferred,medium
636423,Govindaputhur,,Govindaputhur,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,621701,name_match,high
636386,Guruvalapparkovil,,Gangaikondacholapuram,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,612903,block_inferred,medium
636413,Irugaiyur,,Erugaiyur,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,612904,name_match,high
931850,Jayankondamcholapuram,ஜெயங்கொண்டசோழபுரம்,,,Udayarpalayam,Ariyalur,610,5786,,621804,gp_inferred,good
636421,Kadambur,,Gunamangalam,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,604206,name_match_multi,good
636412,Karaikurichi,,Karaikurichi,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,612904,taluk_match,high
636371,Kattagaram (North),,Kattagaram,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,612903,taluk_match,high
636372,Kattagaram (South),,Pillaipalayam,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,612903,taluk_match,high
636366,Keelakudiyiruppu,,Kallathur,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,612903,block_inferred,medium
636420,Keelanatham,,Keelanatham,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,621804,block_inferred,medium
636392,Kodalikaruppur,,Kodalikaruppur,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,612902,name_match,high
636407,Kodangudi (North),,Kodankudi,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,609314,name_match,high
636408,Kodangudi (South),,Chinthamani,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,609314,name_match,high
636387,Kulothunganallur,,Pillaipalayam,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,612903,gp_inferred,good
636370,Kundaveli (East),,Gundaveli,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,612903,taluk_match,high
636369,Kundaveli (West),,Alathipallam,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,612903,taluk_match,high
636450,Madanathur RF,,Sripuranthan,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,621701,gp_inferred,good
636401,Managethi,,Adichanur,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,621804,name_match,high
636439,Managethi RF,,Managathi,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,621804,block_inferred,medium
636373,Muthuservamadam,,Muthuservamadam,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,612903,block_inferred,medium
636414,Naduvalur (East),,Karkudi,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,612904,name_match_multi,good
636442,Naduvalur RF,,Naduvalur,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,612904,gp_inferred,good
636415,Naduvalur (West),,Naduvalur,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,612904,name_match_multi,good
636406,Nayaganaipriyal,,Nayaganaipiriyal,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,621804,block_inferred,medium
636441,Nayaganaipriyal RF,,Nayaganaipiriyal,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,621804,block_inferred,medium
636350,Pappakudi (North),,Padanilai,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,612903,taluk_match,high
636351,Pappakudi (South),,Melanikuzhi,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,612903,taluk_match,high
636405,Parukkal (East),,Parukkal,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,621804,taluk_match,high
636440,Parukkal RF,,Parukkal,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,621804,gp_inferred,good
636404,Parukkal (West),,Parukkal,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,621804,taluk_match,high
636377,Periyavalayam,,Kazhuvanthondi,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,621802,name_match,high
636436,Periyavalayam R.F,,Periyavalayam,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,612903,block_inferred,medium
636396,Pilichikuzihi,,Pilichikuzhi,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,612903,block_inferred,medium
636367,Pirancheri,,Pirancheri,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,612903,block_inferred,medium
636375,Pitchanur,,Pitchanur,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,612903,block_inferred,medium
636422,Sathambadi,,Sathambadi,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,604204,name_match_multi,good
636448,Sathambadi RF,,Sathambadi,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,604204,gp_inferred,good
636378,Sooriyamanal,,Katchiperumal,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,612903,block_inferred,medium
636437,Sooriyamanal R.F,,Thularankuruchi,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,612903,block_inferred,medium
636424,Sripurandan (North),,Sripuranthan,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,621701,taluk_match,high
636425,Sripurandan (South),,Sripuranthan,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,621701,taluk_match,high
636443,Sundaresapuram RF,,Ulliyagudi,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,621804,block_inferred,medium
636416,Suthamalli,,Suthamalli,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,621707,name_match,high
636388,Thaluthalaimedu,,Thaluthalaimedu,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,612901,name_match,high
636365,Thandalai,,Thandalai,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,606213,name_match_multi,good
636434,Thanimarathukadu RF,,Koovathur,ANDIMADAM,Udayarpalayam,Ariyalur,610,5786,6255,621803,gp_inferred,good
636399,Thathanur(East),,Thathanur,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,612903,block_inferred,medium
636400,Thathanur(West),,Thathanur,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,612903,block_inferred,medium
636410,Thenkatchiperumalnatham,,ThenkatchiperumalNatham,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,621804,block_inferred,medium
636411,T.Palur,,T. Palur,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,621804,block_inferred,medium
636397,T.Sholankurichi (North),,T.Cholankuruchi,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,612903,block_inferred,medium
636398,T.Sholankurichi (South),,Kaduvettankurichi,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,621804,block_inferred,medium
636391,Udayanatham (East),,Udayanatham,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,612902,name_match,high
636390,Udayanatham (West),,Udayanatham,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,612902,name_match,high
931852,Udayarpalayam (East),உடையார்பாளையம் (கிழக்கு),,,Udayarpalayam,Ariyalur,610,5786,,621804,name_match_multi,good
636438,Udayarpalayam R.F,,Katchiperumal,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,612903,block_inferred,medium
931853,Udayarpalayam (West),உடையார்பாளையம் (மேற்கு),,,Udayarpalayam,Ariyalur,610,5786,,621804,name_match_multi,good
636419,Udayavarthiyanur,,Ambapur,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,621804,block_inferred,medium
636417,Uliyankudi,,Ulliyagudi,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,621804,block_inferred,medium
636384,Ulkottai (North),,Ulkottai,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,612901,taluk_match,high
636385,Ulkottai (South),,Ulkottai,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,612901,taluk_match,high
636445,Ulliyankudi RF,,Ulliyagudi,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,621804,block_inferred,medium
636426,Valaikurichi,,Valaikurichi],T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,621804,block_inferred,medium
636395,Vanathirayampattinam,,Vanathirayanpattinam,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,612903,block_inferred,medium
636348,Vangudi,,Ayyappanayakkenpettai,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,612903,name_match,high
636389,Vembukudi,,Vembukudi,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,621804,block_inferred,medium
636403,Venmankondan (East),,Anikurichy,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,621804,taluk_match,high
636402,Venmankondan (West),,Venmankondan,T. PALUR,Udayarpalayam,Ariyalur,610,5786,6260,621804,taluk_match,high
636368,Vethiyarvettu,,Saluppai,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,612903,block_inferred,medium
636435,Vethiyarvettu R.F,,Vettiyarvettu,JAYAMKONDAM,Udayarpalayam,Ariyalur,610,5786,6257,612903,block_inferred,medium
629573,Alapakkam (CT),,Alapakkam,KATTANKOLATHUR,Chengalpattu,CHENGALPATTU,730,5706,6178,600116,name_match_multi,good
934037,Ammanambakkam,,,,Chengalpattu,CHENGALPATTU,730,5706,,603003,taluk_match,high
629467,Anjur,,Anjur,KATTANKOLATHUR,Chengalpattu,CHENGALPATTU,730,5706,6178,603204,taluk_match,high
629560,Anjur R.F,,Anjur,KATTANKOLATHUR,Chengalpattu,CHENGALPATTU,730,5706,6178,603204,gp_inferred,good
